transaction_id,user_id,item_id,quantity,price,rating,timestamp,payment_method
T000001,U0186,P0384,-1,300.88,2,2026-01-24 23:05:22,debit_card
T000002,U0248,P0246,4,358.45,4,2026-04-04 15:24:59,wallet
T000003,U0178,P0397,2,289.23,2,2026-02-18 19:33:39,upi
T000004,U0096,P0292,3,55.5,1,2026-04-10 19:43:30,debit_card
T000005,U0624,P0347,1,419.53,2,2026-02-28 04:37:02,paypal
T000006,U0670,P0324,2,154.09,4,2026-03-15 06:28:08,wallet
T000007,U0763,P0097,3,210.95,2,2026-02-27 18:50:15,wallet
T000008,U0620,P0118,2,136.1,4,2026-03-08 03:43:58,wallet
T000009,U0391,P0224,5,134.66,1,2026-03-25 15:49:31,paypal
T000010,U0832,P0148,2,149.3,5,2026-02-11 13:58:14,wallet
T000011,U0968,P0069,5,171.59,1,2026-03-18 09:47:36,debit_card
T000012,U0349,P0421,1,293.03,3,2026-02-09 20:22:07,wallet
T000013,U0827,P0319,3,308.3,4,2026-04-10 00:18:02,debit_card
T000014,U0583,P0219,5,438.08,4,2026-02-25 11:53:48,debit_card
T000015,U0331,P0308,1,421.36,4,2026-03-12 11:56:49,credit_card
T000016,U0265,P0235,1,403.26,5,2026-02-14 00:09:53,credit_card
T000017,U0781,P0304,5,176.71,2,2026-03-31 18:31:10,upi
T000018,U0218,P0479,3,493.12,5,2026-04-12 14:38:06,upi
T000019,U0529,P0493,4,220.55,5,2026-03-29 22:15:23,wallet
T000020,U0265,P0234,1,210.21,1,2026-03-19 23:23:30,credit_card
T000021,U0894,P0443,4,296.28,1,2026-02-22 22:37:05,upi
T000022,U0930,P0043,1,22.9,2,2026-03-28 09:29:31,upi
T000023,U0106,P0173,4,245.41,3,2026-03-14 15:44:00,paypal
T000024,U0001,P0335,3,47.52,5,2026-03-15 00:43:41,credit_card
T000025,U0394,P0252,3,137.77,2,2026-02-15 10:20:35,debit_card
T000026,U0993,P0495,3,309.24,4,2026-04-03 18:49:40,paypal
T000027,,P0453,3,168.86,1,2026-04-12 12:12:05,upi
T000028,U0419,P0439,5,397.58,2,2026-03-23 12:29:38,paypal
T000029,U0047,P0070,3,451.61,5,2026-03-16 02:37:30,upi
T000030,U0852,P0360,5,298.04,3,2026-03-18 04:31:41,paypal
T000031,U0982,P0018,2,171.91,2,2026-03-29 11:47:11,upi
T000032,U0439,P0382,2,380.23,3,2026-03-26 02:35:51,upi
T000033,U0779,P0388,2,263.48,3,2026-04-03 08:54:06,upi
T000034,U0881,P0287,1,338.87,2,2026-03-02 18:38:48,paypal
T000035,U0227,P0010,1,20.65,1,2026-02-07 15:59:36,wallet
T000036,U0592,P0194,5,173.4,5,2026-04-13 07:35:14,credit_card
