user_id,item_id,interaction_type,timestamp,session_id,device_type
U0655,P0058,click,2026-02-24 08:54:58,S39256,mobile
U0755,P0053,click,2026-04-05 15:21:42,S14165,mobile
U0096,P0112,view,2026-03-25 21:55:07,S13478,tablet
U0204,P0367,purchase,2026-02-17 16:21:18,S87236,web
U0829,P0446,click,2026-02-09 15:23:12,S54597,web
U0160,P0111,add_to_cart,2026-02-02 03:22:36,S59797,mobile
U0368,,add_to_cart,2026-04-07 09:37:51,S15695,tablet
U0471,P0275,click,2026-03-09 02:52:08,S82357,web
U0850,P0322,add_to_cart,2026-04-03 07:00:03,S19116,mobile
U0678,P0117,add_to_cart,2026-01-30 08:28:32,S23238,web
U0285,P0233,add_to_cart,2026-02-09 13:28:40,S56566,mobile
U0687,P0137,click,2026-04-07 23:07:07,S32431,tablet
U0747,P0126,view,2026-03-20 13:48:55,S45382,tablet
U0705,P0286,view,2026-04-17 11:48:24,S17331,mobile
U0842,P0017,add_to_cart,2026-03-12 09:44:53,S18675,mobile
U0936,P0483,add_to_cart,2026-02-16 23:51:49,S75435,web
U0906,P0469,purchase,2026-02-07 09:38:38,S28301,mobile
U0763,P0288,add_to_cart,2026-04-04 15:35:55,S86484,web
U0371,P0113,view,2026-03-26 17:58:06,S21915,mobile
U0882,P0057,view,2026-04-10 05:49:29,S99192,web
U0611,P0033,purchase,2026-03-09 21:41:44,S71348,tablet
U0258,P0498,click,2026-04-17 04:10:14,S99353,tablet
U0769,P0137,add_to_cart,2026-02-03 10:41:09,S66985,mobile
U0465,P0002,add_to_cart,2026-03-25 06:30:16,S76542,mobile
U0892,,add_to_cart,2026-04-11 18:29:00,S89818,mobile
U0157,P0192,view,2026-03-30 19:18:34,S10074,tablet
U0332,P0251,click,2026-02-03 13:12:56,S50306,mobile
U0060,P0124,click,2026-01-30 17:41:39,S19071,tablet
U0785,P0065,view,2026-04-14 17:18:16,S82063,mobile
U0272,P0271,purchase,2026-02-16 19:38:06,S36365,tablet
U0320,P0205,add_to_cart,2026-03-17 18:50:39,S69177,mobile
U0254,P0116,click,2026-03-04 00:45:57,S87110,tablet
U0236,P0302,view,2026-01-20 02:35:05,S92719,mobile
U0235,P0035,click,2026-03-03 02:34:47,S77391,mobile
U0286,P0343,purchase,2026-02-16 19:37:58,S27342,tablet
U0958,P0452,purchase,2026-02-20 17:13:13,S63354,mobile
U0097,P0050,purchase,2026-03-06 15:25:19,S63883,web
U0885,P0374,click,2026-04-16 23:47:29,S94696,mobile
U0063,P0207,add_to_cart,2026-02-02 09:03:11,S35112,mobile
U0550,P0230,view,2026-03-15 06:40:50,S46509,web
U0256,P0448,click,2026-03-17 20:02:12,S22833,mobile
U0668,P0277,click,2026-01-31 08:36:22,S31798,web
U0498,P0247,view,2026-03-12 02:08:05,S31579,web
U0003,P0200,add_to_cart,2026-03-19 10:23:08,S65444,tablet
U0981,P0375,purchase,2026-02-08 06:54:50,S48890,mobile
U0992,P0030,click,2026-03-01 02:04:52,S16572,tablet
U0489,P0258,view,2026-01-27 18:29:22,S20500,mobile
U0071,P0305,click,2026-04-16 08:33:48,S62923,mobile
U0965,P0456,view,2026-04-04 21:38:44,S15209,tablet
U0084,P0215,add_to_cart,2026-02-22 07:26:12,S97782,tablet
U0322,P0123,add_to_cart,2026-03-11 04:45:54,S98039,tablet
U0308,P0235,add_to_cart,2026-01-29 00:20:20,S70068,tablet
,P0052,click,2026-03-29 07:45:38,S76307,web
U0136,P0478,add_to_cart,2026-01-28 08:53:38,S58434,web
U0162,P0225,add_to_cart,2026-04-08 23:48:37,S79329,mobile
U0684,P0419,add_to_cart,2026-04-14 03:46:17,S27601,web
U0119,P0456,click,2026-03-31 05:39:34,S45697,web
U0620,P0108,add_to_cart,2026-02-15 23:05:30,S44600,tablet
U0501,P0129,click,2026-01-31 23:05:36,S65518,web
U0046,P0002,add_to_cart,2026-02-05 23:11:47,S44335,mobile
U0760,P0227,purchase,2026-04-01 00:21:07,S24663,mobile
U0968,P0453,view,2026-03-30 01:18:42,S58393,tablet
U0566,P0076,purchase,2026-02-05 01:31:22,S50404,web
U0921,P0478,click,2026-03-06 07:38:55,S99399,mobile
U0683,P0053,add_to_cart,2026-04-01 14:47:44,S91351,tablet
U0159,P0474,view,2026-02-09 06:26:46,S64040,mobile
U0184,P0378,add_to_cart,2026-03-13 09:02:07,S44970,mobile
U0807,P0360,click,2026-03-09 01:24:35,S71694,mobile
U0205,P0419,purchase,2026-03-05 11:06:41,S39831,mobile
U0025,P0338,view,2026-03-12 11:57:05,S46517,mobile
U0991,P0396,add_to_cart,2026-03-05 23:21:20,S76768,web
U0696,P0432,add_to_cart,2026-01-23 04:11:58,S44237,mobile
,P0493,add_to_cart,2026-01-24 03:56:48,S88193,web
U0354,P0374,add_to_cart,2026-03-16 22:04:17,S77033,mobile
U0395,P0461,view,2026-02-21 01:36:57,S67154,mobile
U0533,P0474,view,2026-03-07 15:42:11,S19171,tablet
U0943,P0170,add_to_cart,2026-04-14 04:32:14,S49363,tablet
U0317,P0342,purchase,,S48752,tablet
U0131,P0099,purchase,2026-04-15 13:48:15,S98777,tablet
U0925,P0090,add_to_cart,2026-03-12 19:56:59,S10053,web
U0294,P0108,purchase,2026-04-04 22:05:16,S95813,web
U0477,P0227,purchase,2026-04-16 07:46:50,S77000,web
U0813,P0462,view,2026-04-14 03:05:14,S47196,tablet
U0680,P0325,add_to_cart,2026-01-31 08:33:04,S98184,web
U0231,P0413,view,2026-02-07 00:53:21,S16057,mobile
U0487,P0313,click,2026-03-19 15:05:21,S92544,tablet
U0200,P0368,purchase,2026-03-24 14:33:03,S41979,mobile
U0672,P0353,click,2026-02-02 15:28:44,S38683,mobile
U0824,P0491,purchase,2026-01-26 20:17:40,S42662,mobile
U0468,P0069,purchase,2026-04-15 19:20:16,S83259,tablet
U0325,P0487,purchase,2026-04-08 18:22:42,S65933,tablet
U0457,P0460,view,2026-03-21 16:23:11,S43972,console
U0861,P0327,add_to_cart,2026-03-27 17:38:37,S92149,mobile
U0282,P0226,click,2026-02-25 08:32:15,S45614,web
U0328,P0458,click,2026-02-06 05:29:29,S40311,web
U0711,P0079,view,2026-01-28 15:06:17,S63424,web
U0556,P0239,purchase,2026-01-27 07:31:50,S65069,web
U0927,P0395,click,2026-04-03 13:50:57,S72518,mobile
U0966,P0181,add_to_cart,2026-03-10 15:15:21,S80545,tablet
U0753,P0280,view,2026-03-23 07:59:20,S45774,web
U0498,P0015,purchase,2026-03-04 14:43:14,S31632,web
U0942,P0066,click,2026-03-11 21:33:00,S83975,tablet
